Processing 2x2 minors...
Matrix size: 8x8
Total minors: 784
Rows: 0 1 | Cols: 0 1 | Det: 385
Rows: 3 4 | Cols: 2 7 | Det: -2475
Rows: 3 4 | Cols: 3 4 | Det: -89
Rows: 3 4 | Cols: 3 5 | Det: 958
Rows: 3 4 | Cols: 3 6 | Det: 49
Rows: 3 4 | Cols: 3 7 | Det: -2142
Rows: 3 4 | Cols: 4 5 | Det: 1433
Rows: 3 4 | Cols: 4 6 | Det: 157
Rows: 3 4 | Cols: 4 7 | Det: -2909
Rows: 3 4 | Cols: 5 6 | Det: -901
Rows: 3 4 | Cols: 5 7 | Det: -3176
Rows: 3 4 | Cols: 6 7 | Det: -2177
Rows: 3 5 | Cols: 0 1 | Det: -3396
Rows: 3 5 | Cols: 0 2 | Det: -3260
Rows: 3 5 | Cols: 0 3 | Det: 1288
Rows: 3 5 | Cols: 0 4 | Det: -1732
Rows: 3 5 | Cols: 0 5 | Det: -920
Rows: 3 5 | Cols: 0 6 | Det: 36
Rows: 3 5 | Cols: 0 7 | Det: -1584
Rows: 3 5 | Cols: 1 2 | Det: 1722
Rows: 3 5 | Cols: 1 3 | Det: 4722
Rows: 3 5 | Cols: 1 4 | Det: 1692
Rows: 3 5 | Cols: 1 5 | Det: 387
Rows: 3 5 | Cols: 1 6 | Det: 2853
Rows: 3 5 | Cols: 1 7 | Det: 3516
Rows: 3 5 | Cols: 2 3 | Det: 5186
Rows: 3 5 | Cols: 2 4 | Det: 746
Rows: 3 5 | Cols: 2 5 | Det: -95
Rows: 3 5 | Cols: 2 6 | Det: 2757
Rows: 3 5 | Cols: 2 7 | Det: 2572
Rows: 3 5 | Cols: 3 4 | Det: -3050
Rows: 3 5 | Cols: 3 5 | Det: -1426
Rows: 3 5 | Cols: 3 6 | Det: -1032
Rows: 3 5 | Cols: 3 7 | Det: -3536
Rows: 3 5 | Cols: 4 5 | Det: -261
Rows: 3 5 | Cols: 4 6 | Det: 1473
Rows: 3 5 | Cols: 4 7 | Det: 1004
Rows: 3 5 | Cols: 5 6 | Det: 777
Rows: 3 5 | Cols: 5 7 | Det: 772
Rows: 3 5 | Cols: 6 7 | Det: -1368
Rows: 3 6 | Cols: 0 1 | Det: -387
Rows: 3 6 | Cols: 0 2 | Det: 3135
Rows: 3 6 | Cols: 0 3 | Det: 866
Rows: 3 6 | Cols: 0 4 | Det: 2221
Rows: 3 6 | Cols: 0 5 | Det: 1700
Rows: 3 6 | Cols: 0 6 | Det: -163
Rows: 3 6 | Cols: 0 7 | Det: 1132
Rows: 3 6 | Cols: 1 2 | Det: 5193
Rows: 3 6 | Cols: 1 3 | Det: 1563
Rows: 3 6 | Cols: 1 4 | Det: 3639
Rows: 3 6 | Cols: 1 5 | Det: 2616
Rows: 3 6 | Cols: 1 6 | Det: 87
Rows: 3 6 | Cols: 1 7 | Det: 2271
Rows: 3 6 | Cols: 2 3 | Det: -1041
Rows: 3 6 | Cols: 2 4 | Det: 324
Rows: 3 6 | Cols: 2 5 | Det: 1620
Rows: 3 6 | Cols: 2 6 | Det: -2892
Rows: 3 6 | Cols: 2 7 | Det: -3207
Rows: 3 6 | Cols: 3 4 | Det: 827
Rows: 3 6 | Cols: 3 5 | Det: 1012
Rows: 3 6 | Cols: 3 6 | Det: -853
Rows: 3 6 | Cols: 3 7 | Det: -510
Rows: 3 6 | Cols: 4 5 | Det: 972
Rows: 3 6 | Cols: 4 6 | Det: -2032
Rows: 3 6 | Cols: 4 7 | Det: -2389
Rows: 3 6 | Cols: 5 6 | Det: -1484
Rows: 3 6 | Cols: 5 7 | Det: -2324
Rows: 3 6 | Cols: 6 7 | Det: 1211
Rows: 3 7 | Cols: 0 1 | Det: -2497
Rows: 3 7 | Cols: 0 2 | Det: -4955
Rows: 3 7 | Cols: 0 3 | Det: -2714
Rows: 3 7 | Cols: 0 4 | Det: -49
Rows: 3 7 | Cols: 0 5 | Det: -820
Rows: 3 7 | Cols: 0 6 | Det: 527
Rows: 3 7 | Cols: 0 7 | Det: -3588
Rows: 3 7 | Cols: 1 2 | Det: -2379
Rows: 3 7 | Cols: 1 3 | Det: -1745
Rows: 3 7 | Cols: 1 4 | Det: 2989
Rows: 3 7 | Cols: 1 5 | Det: 80
Rows: 3 7 | Cols: 1 6 | Det: 2811
Rows: 3 7 | Cols: 1 7 | Det: -868
Rows: 3 7 | Cols: 2 3 | Det: -877
Rows: 3 7 | Cols: 2 4 | Det: 5978
Rows: 3 7 | Cols: 2 5 | Det: 940
Rows: 3 7 | Cols: 2 6 | Det: 5076
Rows: 3 7 | Cols: 2 7 | Det: 1696
Rows: 3 7 | Cols: 3 4 | Det: 3283
Rows: 3 7 | Cols: 3 5 | Det: 660
Rows: 3 7 | Cols: 3 6 | Det: 2687
Rows: 3 7 | Cols: 3 7 | Det: 1564
Rows: 3 7 | Cols: 4 5 | Det: -980
Rows: 3 7 | Cols: 4 6 | Det: 686
Rows: 3 7 | Cols: 4 7 | Det: -4312
Rows: 3 7 | Cols: 5 6 | Det: 940
Rows: 3 7 | Cols: 5 7 | Det: -400
Rows: 3 7 | Cols: 6 7 | Det: -3856
Rows: 4 5 | Cols: 0 1 | Det: -3728
Rows: 4 5 | Cols: 0 2 | Det: -1144
Rows: 4 5 | Cols: 0 3 | Det: 4408
Rows: 4 5 | Cols: 0 4 | Det: -1184
Rows: 4 5 | Cols: 0 5 | Det: -2930
Rows: 4 5 | Cols: 0 6 | Det: 1570
Rows: 4 5 | Cols: 0 7 | Det: 4156
Rows: 4 5 | Cols: 1 2 | Det: 2320
Rows: 4 5 | Cols: 1 3 | Det: 5712
Rows: 4 5 | Cols: 1 4 | Det: 1984
Rows: 4 5 | Cols: 1 5 | Det: 86
Rows: 4 5 | Cols: 1 6 | Det: 3402
Rows: 4 5 | Cols: 1 7 | Det: 4900
Rows: 4 5 | Cols: 2 3 | Det: 4496
Rows: 4 5 | Cols: 2 4 | Det: -128
Rows: 4 5 | Cols: 2 5 | Det: -1797
Rows: 4 5 | Cols: 2 6 | Det: 2021
Rows: 4 5 | Cols: 2 7 | Det: 4090
Rows: 4 5 | Cols: 3 4 | Det: -4160
Rows: 4 5 | Cols: 3 5 | Det: -4591
Rows: 4 5 | Cols: 3 6 | Det: -1617
Rows: 4 5 | Cols: 3 7 | Det: 574
Rows: 4 5 | Cols: 4 5 | Det: -1532
Rows: 4 5 | Cols: 4 6 | Det: 1916
Rows: 4 5 | Cols: 4 7 | Det: 3768
Rows: 4 5 | Cols: 5 6 | Det: 2710
Rows: 4 5 | Cols: 5 7 | Det: 3947
Rows: 4 5 | Cols: 6 7 | Det: 1729
Rows: 4 6 | Cols: 0 1 | Det: -254
Rows: 4 6 | Cols: 0 2 | Det: 7689
Rows: 4 6 | Cols: 0 3 | Det: 2127
Rows: 4 6 | Cols: 0 4 | Det: 5186
Rows: 4 6 | Cols: 0 5 | Det: 3501
Rows: 4 6 | Cols: 0 6 | Det: -109
Rows: 4 6 | Cols: 0 7 | Det: 3657
Rows: 4 6 | Cols: 1 2 | Det: 6480
Rows: 4 6 | Cols: 1 3 | Det: 1876
Rows: 4 6 | Cols: 1 4 | Det: 4422
Rows: 4 6 | Cols: 1 5 | Det: 3018
Rows: 4 6 | Cols: 1 6 | Det: 56
Rows: 4 6 | Cols: 1 7 | Det: 3080
Rows: 4 6 | Cols: 2 3 | Det: -2526
Rows: 4 6 | Cols: 2 4 | Det: -1557
Rows: 4 6 | Cols: 2 5 | Det: -2043
Rows: 4 6 | Cols: 2 6 | Det: -4476
Rows: 4 6 | Cols: 2 7 | Det: 60
Rows: 4 6 | Cols: 3 4 | Det: 1273
Rows: 4 6 | Cols: 3 5 | Det: 585
Rows: 4 6 | Cols: 3 6 | Det: -1274
Rows: 4 6 | Cols: 3 7 | Det: 1218
Rows: 4 6 | Cols: 4 5 | Det: -669
Rows: 4 6 | Cols: 4 6 | Det: -3041
Rows: 4 6 | Cols: 4 7 | Det: 781
Rows: 4 6 | Cols: 5 6 | Det: -2067
Rows: 4 6 | Cols: 5 7 | Det: 999
Rows: 4 6 | Cols: 6 7 | Det: 2128
Rows: 4 7 | Cols: 0 1 | Det: -1112
Rows: 4 7 | Cols: 0 2 | Det: -3667
Rows: 4 7 | Cols: 0 3 | Det: -3883
Rows: 4 7 | Cols: 0 4 | Det: 2920
Rows: 4 7 | Cols: 0 5 | Det: -2897
Rows: 4 7 | Cols: 0 6 | Det: 2911
Rows: 4 7 | Cols: 0 7 | Det: 1293
Rows: 4 7 | Cols: 1 2 | Det: -2015
Rows: 4 7 | Cols: 1 3 | Det: -2527
Rows: 4 7 | Cols: 1 4 | Det: 3256
Rows: 4 7 | Cols: 1 5 | Det: -1621
Rows: 4 7 | Cols: 1 6 | Det: 3003
Rows: 4 7 | Cols: 1 7 | Det: 1505
Rows: 4 7 | Cols: 2 3 | Det: -1297
Rows: 4 7 | Cols: 2 4 | Det: 5446
Rows: 4 7 | Cols: 2 5 | Det: -96
Rows: 4 7 | Cols: 2 6 | Det: 4628
Rows: 4 7 | Cols: 2 7 | Det: 2620
Rows: 4 7 | Cols: 3 4 | Det: 4734
Rows: 4 7 | Cols: 3 5 | Det: 923
Rows: 4 7 | Cols: 3 6 | Det: 3871
Rows: 4 7 | Cols: 3 7 | Det: 2317
Rows: 4 7 | Cols: 4 5 | Det: -4226
Rows: 4 7 | Cols: 4 6 | Det: 638
Rows: 4 7 | Cols: 4 7 | Det: -166
Rows: 4 7 | Cols: 5 6 | Det: 3580
Rows: 4 7 | Cols: 5 7 | Det: 2036
Rows: 4 7 | Cols: 6 7 | Det: -448
Rows: 5 6 | Cols: 0 1 | Det: 276
Rows: 5 6 | Cols: 0 2 | Det: 6226
Rows: 5 6 | Cols: 0 3 | Det: 1118
Rows: 5 6 | Cols: 0 4 | Det: 4252
Rows: 5 6 | Cols: 0 5 | Det: 3143
Rows: 5 6 | Cols: 0 6 | Det: -287
Rows: 5 6 | Cols: 0 7 | Det: 2360
Rows: 5 6 | Cols: 1 2 | Det: 912
Rows: 5 6 | Cols: 1 3 | Det: -168
Rows: 5 6 | Cols: 1 4 | Det: 588
Rows: 5 6 | Cols: 1 5 | Det: 510
Rows: 5 6 | Cols: 1 6 | Det: -282
Rows: 5 6 | Cols: 1 7 | Det: 108
Rows: 5 6 | Cols: 2 3 | Det: -7484
Rows: 5 6 | Cols: 2 4 | Det: -786
Rows: 5 6 | Cols: 2 5 | Det: 1119
Rows: 5 6 | Cols: 2 6 | Det: -5413
Rows: 5 6 | Cols: 2 7 | Det: -5362
Rows: 5 6 | Cols: 3 4 | Det: 4970
Rows: 5 6 | Cols: 3 5 | Det: 3979
Rows: 5 6 | Cols: 3 6 | Det: -1317
Rows: 5 6 | Cols: 3 7 | Det: 1874
Rows: 5 6 | Cols: 4 5 | Det: 1161
Rows: 5 6 | Cols: 4 6 | Det: -3733
Rows: 5 6 | Cols: 4 7 | Det: -3364
Rows: 5 6 | Cols: 5 6 | Det: -2681
Rows: 5 6 | Cols: 5 7 | Det: -3131
Rows: 5 6 | Cols: 6 7 | Det: 2299
Rows: 5 7 | Cols: 0 1 | Det: 2632
Rows: 5 7 | Cols: 0 2 | Det: -1822
Rows: 5 7 | Cols: 0 3 | Det: -7222
Rows: 5 7 | Cols: 0 4 | Det: 3424
Rows: 5 7 | Cols: 0 5 | Det: 469
Rows: 5 7 | Cols: 0 6 | Det: 823
Rows: 5 7 | Cols: 0 7 | Det: -2892
Rows: 5 7 | Cols: 1 2 | Det: -2102
Rows: 5 7 | Cols: 1 3 | Det: -4758
Rows: 5 7 | Cols: 1 4 | Det: -944
Rows: 5 7 | Cols: 1 5 | Det: -343
Rows: 5 7 | Cols: 1 6 | Det: -2061
Rows: 5 7 | Cols: 1 7 | Det: -3452
Rows: 5 7 | Cols: 2 3 | Det: -2474
Rows: 5 7 | Cols: 2 4 | Det: 3388
Rows: 5 7 | Cols: 2 5 | Det: 612
Rows: 5 7 | Cols: 2 6 | Det: 2084
Rows: 5 7 | Cols: 2 7 | Det: 80
Rows: 5 7 | Cols: 3 4 | Det: 8780
Rows: 5 7 | Cols: 3 5 | Det: 1789
Rows: 5 7 | Cols: 3 6 | Det: 7143
Rows: 5 7 | Cols: 3 7 | Det: 4244
Rows: 5 7 | Cols: 4 5 | Det: -278
Rows: 5 7 | Cols: 4 6 | Det: -2386
Rows: 5 7 | Cols: 4 7 | Det: -5528
Rows: 5 7 | Cols: 5 6 | Det: -260
Rows: 5 7 | Cols: 5 7 | Det: -992
Rows: 5 7 | Cols: 6 7 | Det: -3344
Rows: 6 7 | Cols: 0 1 | Det: 97
Rows: 6 7 | Cols: 0 2 | Det: -7711
Rows: 6 7 | Cols: 0 3 | Det: -2500
Rows: 6 7 | Cols: 0 4 | Det: -4511
Rows: 6 7 | Cols: 0 5 | Det: -3668
Rows: 6 7 | Cols: 0 6 | Det: 475
Rows: 6 7 | Cols: 0 7 | Det: -3279
Rows: 6 7 | Cols: 1 2 | Det: -5079
Rows: 6 7 | Cols: 1 3 | Det: -1637
Rows: 6 7 | Cols: 1 4 | Det: -3069
Rows: 6 7 | Cols: 1 5 | Det: -2424
Rows: 6 7 | Cols: 1 6 | Det: 215
Rows: 6 7 | Cols: 1 7 | Det: -2203
Rows: 6 7 | Cols: 2 3 | Det: -769
Rows: 6 7 | Cols: 2 4 | Det: 7770
Rows: 6 7 | Cols: 2 5 | Det: 636
Rows: 6 7 | Cols: 2 6 | Det: 7780
Rows: 6 7 | Cols: 2 7 | Det: 3436
Rows: 6 7 | Cols: 3 4 | Det: 2969
Rows: 6 7 | Cols: 3 5 | Det: 572
Rows: 6 7 | Cols: 3 6 | Det: 2475
Rows: 6 7 | Cols: 3 7 | Det: 1441
Rows: 6 7 | Cols: 4 5 | Det: -3324
Rows: 6 7 | Cols: 4 6 | Det: 5030
Rows: 6 7 | Cols: 4 7 | Det: -1294
Rows: 6 7 | Cols: 5 6 | Det: 3740
Rows: 6 7 | Cols: 5 7 | Det: 1364
Rows: 6 7 | Cols: 6 7 | Det: -3520

Singular minors: 0
Total minors: 784
Percentage singular: 0%
Time taken: 0 seconds
