Processing 3x3 minors...
Matrix size: 8x8
Total minors: 3136
Rows: 0 1 2 | Cols: 0 1 2 | Det: 191294
Rows: 0 2 5 | Cols: 0 1 2 | Det: -401792
Rows: 0 2 5 | Cols: 0 1 3 | Det: -384512
Rows: 0 2 5 | Cols: 0 1 4 | Det: -255104
Rows: 0 2 5 | Cols: 0 1 5 | Det: -414040
Rows: 0 2 5 | Cols: 0 1 6 | Det: -342576
Rows: 0 2 5 | Cols: 0 1 7 | Det: -473968
Rows: 0 2 5 | Cols: 0 2 3 | Det: -81824
Rows: 0 2 5 | Cols: 0 2 4 | Det: 44256
Rows: 0 2 5 | Cols: 0 2 5 | Det: 63670
Rows: 0 2 5 | Cols: 0 2 6 | Det: -20164
Rows: 0 2 5 | Cols: 0 2 7 | Det: 282428
Rows: 0 2 5 | Cols: 0 3 4 | Det: 94304
Rows: 0 2 5 | Cols: 0 3 5 | Det: 145250
Rows: 0 2 5 | Cols: 0 3 6 | Det: 50468
Rows: 0 2 5 | Cols: 0 3 7 | Det: 366804
Rows: 0 2 5 | Cols: 0 4 5 | Det: -5180
Rows: 0 2 5 | Cols: 0 4 6 | Det: -50536
Rows: 0 2 5 | Cols: 0 4 7 | Det: 127112
Rows: 0 2 5 | Cols: 0 5 6 | Det: -75065
Rows: 0 2 5 | Cols: 0 5 7 | Det: 215930
Rows: 0 2 5 | Cols: 0 6 7 | Det: 264590
Rows: 0 2 5 | Cols: 1 2 3 | Det: -286112
Rows: 0 2 5 | Cols: 1 2 4 | Det: -55968
Rows: 0 2 5 | Cols: 1 2 5 | Det: 226326
Rows: 0 2 5 | Cols: 1 2 6 | Det: -108612
Rows: 0 2 5 | Cols: 1 2 7 | Det: -78596
Rows: 0 2 5 | Cols: 1 3 4 | Det: 128096
Rows: 0 2 5 | Cols: 1 3 5 | Det: 511426
Rows: 0 2 5 | Cols: 1 3 6 | Det: 140004
Rows: 0 2 5 | Cols: 1 3 7 | Det: 262292
Rows: 0 2 5 | Cols: 1 4 5 | Det: 201372
Rows: 0 2 5 | Cols: 1 4 6 | Det: -21240
Rows: 0 2 5 | Cols: 1 4 7 | Det: 16120
Rows: 0 2 5 | Cols: 1 5 6 | Det: -304893
Rows: 0 2 5 | Cols: 1 5 7 | Det: -347974
Rows: 0 2 5 | Cols: 1 6 7 | Det: 61110
Rows: 0 2 5 | Cols: 2 3 4 | Det: -42912
Rows: 0 2 5 | Cols: 2 3 5 | Det: 752
Rows: 0 2 5 | Cols: 2 3 6 | Det: -7760
Rows: 0 2 5 | Cols: 2 3 7 | Det: -217120
Rows: 0 2 5 | Cols: 2 4 5 | Det: -33798
Rows: 0 2 5 | Cols: 2 4 6 | Det: 14772
Rows: 0 2 5 | Cols: 2 4 7 | Det: -30684
Rows: 0 2 5 | Cols: 2 5 6 | Det: 5853
Rows: 0 2 5 | Cols: 2 5 7 | Det: 171544
Rows: 0 2 5 | Cols: 2 6 7 | Det: -80290
Rows: 0 2 5 | Cols: 3 4 5 | Det: -77042
Rows: 0 2 5 | Cols: 3 4 6 | Det: -17524
Rows: 0 2 5 | Cols: 3 4 7 | Det: 57868
Rows: 0 2 5 | Cols: 3 5 6 | Det: 14239
Rows: 0 2 5 | Cols: 3 5 7 | Det: 388792
Rows: 0 2 5 | Cols: 3 6 7 | Det: 99130
Rows: 0 2 5 | Cols: 4 5 6 | Det: -40323
Rows: 0 2 5 | Cols: 4 5 7 | Det: 100666
Rows: 0 2 5 | Cols: 4 6 7 | Det: -7390
Rows: 0 2 5 | Cols: 5 6 7 | Det: -222095
Rows: 0 2 6 | Cols: 0 1 2 | Det: 54134
Rows: 0 2 6 | Cols: 0 1 3 | Det: -36558
Rows: 0 2 6 | Cols: 0 1 4 | Det: 39332
Rows: 0 2 6 | Cols: 0 1 5 | Det: -5474
Rows: 0 2 6 | Cols: 0 1 6 | Det: -56939
Rows: 0 2 6 | Cols: 0 1 7 | Det: -31790
Rows: 0 2 6 | Cols: 0 2 3 | Det: 82644
Rows: 0 2 6 | Cols: 0 2 4 | Det: -9984
Rows: 0 2 6 | Cols: 0 2 5 | Det: 41072
Rows: 0 2 6 | Cols: 0 2 6 | Det: 86276
Rows: 0 2 6 | Cols: 0 2 7 | Det: 39472
Rows: 0 2 6 | Cols: 0 3 4 | Det: -53304
Rows: 0 2 6 | Cols: 0 3 5 | Det: -19380
Rows: 0 2 6 | Cols: 0 3 6 | Det: 28662
Rows: 0 2 6 | Cols: 0 3 7 | Det: 21876
Rows: 0 2 6 | Cols: 0 4 5 | Det: 28832
Rows: 0 2 6 | Cols: 0 4 6 | Det: 52184
Rows: 0 2 6 | Cols: 0 4 7 | Det: 22816
Rows: 0 2 6 | Cols: 0 5 6 | Det: 34476
Rows: 0 2 6 | Cols: 0 5 7 | Det: 20128
Rows: 0 2 6 | Cols: 0 6 7 | Det: 9148
Rows: 0 2 6 | Cols: 1 2 3 | Det: 526660
Rows: 0 2 6 | Cols: 1 2 4 | Det: -19866
Rows: 0 2 6 | Cols: 1 2 5 | Det: 307890
Rows: 0 2 6 | Cols: 1 2 6 | Det: 584117
Rows: 0 2 6 | Cols: 1 2 7 | Det: 538940
Rows: 0 2 6 | Cols: 1 3 4 | Det: -369238
Rows: 0 2 6 | Cols: 1 3 5 | Det: -154670
Rows: 0 2 6 | Cols: 1 3 6 | Det: 159481
Rows: 0 2 6 | Cols: 1 3 7 | Det: -54680
Rows: 0 2 6 | Cols: 1 4 5 | Det: 221694
Rows: 0 2 6 | Cols: 1 4 6 | Det: 403505
Rows: 0 2 6 | Cols: 1 4 7 | Det: 379910
Rows: 0 2 6 | Cols: 1 5 6 | Det: 264778
Rows: 0 2 6 | Cols: 1 5 7 | Det: 126310
Rows: 0 2 6 | Cols: 1 6 7 | Det: -223845
Rows: 0 2 6 | Cols: 2 3 4 | Det: 66804
Rows: 0 2 6 | Cols: 2 3 5 | Det: 70460
Rows: 0 2 6 | Cols: 2 3 6 | Det: 52382
Rows: 0 2 6 | Cols: 2 3 7 | Det: 438760
Rows: 0 2 6 | Cols: 2 4 5 | Det: -41712
Rows: 0 2 6 | Cols: 2 4 6 | Det: -76068
Rows: 0 2 6 | Cols: 2 4 7 | Det: -84912
Rows: 0 2 6 | Cols: 2 5 6 | Det: -47524
Rows: 0 2 6 | Cols: 2 5 7 | Det: 184400
Rows: 0 2 6 | Cols: 2 6 7 | Det: 433024
Rows: 0 2 6 | Cols: 3 4 5 | Det: -29780
Rows: 0 2 6 | Cols: 3 4 6 | Det: -56954
Rows: 0 2 6 | Cols: 3 4 7 | Det: -300676
Rows: 0 2 6 | Cols: 3 5 6 | Det: -36720
Rows: 0 2 6 | Cols: 3 5 7 | Det: -121540
Rows: 0 2 6 | Cols: 3 6 7 | Det: 138302
Rows: 0 2 6 | Cols: 4 5 6 | Det: 1652
Rows: 0 2 6 | Cols: 4 5 7 | Det: 149888
Rows: 0 2 6 | Cols: 4 6 7 | Det: 269980
Rows: 0 2 6 | Cols: 5 6 7 | Det: 178076
Rows: 0 2 7 | Cols: 0 1 2 | Det: -472856
Rows: 0 2 7 | Cols: 0 1 3 | Det: -543808
Rows: 0 2 7 | Cols: 0 1 4 | Det: -220968
Rows: 0 2 7 | Cols: 0 1 5 | Det: -451632
Rows: 0 2 7 | Cols: 0 1 6 | Det: -356832
Rows: 0 2 7 | Cols: 0 1 7 | Det: -605688
Rows: 0 2 7 | Cols: 0 2 3 | Det: -22306
Rows: 0 2 7 | Cols: 0 2 4 | Det: -12154
Rows: 0 2 7 | Cols: 0 2 5 | Det: 46046
Rows: 0 2 7 | Cols: 0 2 6 | Det: -61285
Rows: 0 2 7 | Cols: 0 2 7 | Det: 371196
Rows: 0 2 7 | Cols: 0 3 4 | Det: -3554
Rows: 0 2 7 | Cols: 0 3 5 | Det: 74260
Rows: 0 2 7 | Cols: 0 3 6 | Det: -53648
Rows: 0 2 7 | Cols: 0 3 7 | Det: 455466
Rows: 0 2 7 | Cols: 0 4 5 | Det: 33126
Rows: 0 2 7 | Cols: 0 4 6 | Det: -19467
Rows: 0 2 7 | Cols: 0 4 7 | Det: 189030
Rows: 0 2 7 | Cols: 0 5 6 | Det: -93282
Rows: 0 2 7 | Cols: 0 5 7 | Det: 295554
Rows: 0 2 7 | Cols: 0 6 7 | Det: 358617
Rows: 0 2 7 | Cols: 1 2 3 | Det: 167550
Rows: 0 2 7 | Cols: 1 2 4 | Det: -503666
Rows: 0 2 7 | Cols: 1 2 5 | Det: 69494
Rows: 0 2 7 | Cols: 1 2 6 | Det: -383769
Rows: 0 2 7 | Cols: 1 2 7 | Det: 172044
Rows: 0 2 7 | Cols: 1 3 4 | Det: -657538
Rows: 0 2 7 | Cols: 1 3 5 | Det: -80108
Rows: 0 2 7 | Cols: 1 3 6 | Det: -567792
Rows: 0 2 7 | Cols: 1 3 7 | Det: -16758
Rows: 0 2 7 | Cols: 1 4 5 | Det: 513534
Rows: 0 2 7 | Cols: 1 4 6 | Det: 200745
Rows: 0 2 7 | Cols: 1 4 7 | Det: 725550
Rows: 0 2 7 | Cols: 1 5 6 | Det: -418986
Rows: 0 2 7 | Cols: 1 5 7 | Det: 75306
Rows: 0 2 7 | Cols: 1 6 7 | Det: 621405
Rows: 0 2 7 | Cols: 2 3 4 | Det: -28066
Rows: 0 2 7 | Cols: 2 3 5 | Det: 19594
Rows: 0 2 7 | Cols: 2 3 6 | Det: -39819
Rows: 0 2 7 | Cols: 2 3 7 | Det: 139644
Rows: 0 2 7 | Cols: 2 4 5 | Det: -47260
Rows: 0 2 7 | Cols: 2 4 6 | Det: 55414
Rows: 0 2 7 | Cols: 2 4 7 | Det: -390960
Rows: 0 2 7 | Cols: 2 5 6 | Det: 28364
Rows: 0 2 7 | Cols: 2 5 7 | Det: 37800
Rows: 0 2 7 | Cols: 2 6 7 | Det: -278964
Rows: 0 2 7 | Cols: 3 4 5 | Det: -90314
Rows: 0 2 7 | Cols: 3 4 6 | Det: 61157
Rows: 0 2 7 | Cols: 3 4 7 | Det: -550830
Rows: 0 2 7 | Cols: 3 5 6 | Det: 85438
Rows: 0 2 7 | Cols: 3 5 7 | Det: -64806
Rows: 0 2 7 | Cols: 3 6 7 | Det: -477207
Rows: 0 2 7 | Cols: 4 5 6 | Det: -75336
Rows: 0 2 7 | Cols: 4 5 7 | Det: 330540
Rows: 0 2 7 | Cols: 4 6 7 | Det: 235650
Rows: 0 2 7 | Cols: 5 6 7 | Det: -258636
Rows: 0 3 4 | Cols: 0 1 2 | Det: -158467
Rows: 0 3 4 | Cols: 0 1 3 | Det: -155521
Rows: 0 3 4 | Cols: 0 1 4 | Det: -91502
Rows: 0 3 4 | Cols: 0 1 5 | Det: -115255
Rows: 0 3 4 | Cols: 0 1 6 | Det: -127371
Rows: 0 3 4 | Cols: 0 1 7 | Det: -214371
Rows: 0 3 4 | Cols: 0 2 3 | Det: -182581
Rows: 0 3 4 | Cols: 0 2 4 | Det: -37551
Rows: 0 3 4 | Cols: 0 2 5 | Det: -231385
Rows: 0 3 4 | Cols: 0 2 6 | Det: -142862
Rows: 0 3 4 | Cols: 0 2 7 | Det: -16517
Rows: 0 3 4 | Cols: 0 3 4 | Det: 68573
Rows: 0 3 4 | Cols: 0 3 5 | Det: -94290
Rows: 0 3 4 | Cols: 0 3 6 | Det: 6547
Rows: 0 3 4 | Cols: 0 3 7 | Det: 230782
Rows: 0 3 4 | Cols: 0 4 5 | Det: -106295
Rows: 0 3 4 | Cols: 0 4 6 | Det: -52309
Rows: 0 3 4 | Cols: 0 4 7 | Det: 41261
Rows: 0 3 4 | Cols: 0 5 6 | Det: 82075
Rows: 0 3 4 | Cols: 0 5 7 | Det: 301000
Rows: 0 3 4 | Cols: 0 6 7 | Det: 179985
Rows: 0 3 4 | Cols: 1 2 3 | Det: -103273
Rows: 0 3 4 | Cols: 1 2 4 | Det: -76066
Rows: 0 3 4 | Cols: 1 2 5 | Det: -192854
Rows: 0 3 4 | Cols: 1 2 6 | Det: -95493
Rows: 0 3 4 | Cols: 1 2 7 | Det: 109015
Rows: 0 3 4 | Cols: 1 3 4 | Det: -15020
Rows: 0 3 4 | Cols: 1 3 5 | Det: -114157
Rows: 0 3 4 | Cols: 1 3 6 | Det: -10710
Rows: 0 3 4 | Cols: 1 3 7 | Det: 246694
Rows: 0 3 4 | Cols: 1 4 5 | Det: -56034
Rows: 0 3 4 | Cols: 1 4 6 | Det: 6000
Rows: 0 3 4 | Cols: 1 4 7 | Det: 165848
Rows: 0 3 4 | Cols: 1 5 6 | Det: 85557
Rows: 0 3 4 | Cols: 1 5 7 | Det: 340177
Rows: 0 3 4 | Cols: 1 6 7 | Det: 216804
Rows: 0 3 4 | Cols: 2 3 4 | Det: -63169
Rows: 0 3 4 | Cols: 2 3 5 | Det: -71407
Rows: 0 3 4 | Cols: 2 3 6 | Det: -16921
Rows: 0 3 4 | Cols: 2 3 7 | Det: 136368
Rows: 0 3 4 | Cols: 2 4 5 | Det: 65368
Rows: 0 3 4 | Cols: 2 4 6 | Det: 45947
Rows: 0 3 4 | Cols: 2 4 7 | Det: 33761
Rows: 0 3 4 | Cols: 2 5 6 | Det: 34429
Rows: 0 3 4 | Cols: 2 5 7 | Det: 179279
Rows: 0 3 4 | Cols: 2 6 7 | Det: 108233
Rows: 0 3 4 | Cols: 3 4 5 | Det: 59441
Rows: 0 3 4 | Cols: 3 4 6 | Det: 4090
Rows: 0 3 4 | Cols: 3 4 7 | Det: -131062
Rows: 0 3 4 | Cols: 3 5 6 | Det: -11299
Rows: 0 3 4 | Cols: 3 5 7 | Det: -19834
Rows: 0 3 4 | Cols: 3 6 7 | Det: -26278
Rows: 0 3 4 | Cols: 4 5 6 | Det: 39003
Rows: 0 3 4 | Cols: 4 5 7 | Det: 167393
Rows: 0 3 4 | Cols: 4 6 7 | Det: 97516
Rows: 0 3 4 | Cols: 5 6 7 | Det: -18805
Rows: 0 3 5 | Cols: 0 1 2 | Det: -215470
Rows: 0 3 5 | Cols: 0 1 3 | Det: -201394
Rows: 0 3 5 | Cols: 0 1 4 | Det: -135884
Rows: 0 3 5 | Cols: 0 1 5 | Det: -218185
Rows: 0 3 5 | Cols: 0 1 6 | Det: -180291
Rows: 0 3 5 | Cols: 0 1 7 | Det: -248160
Rows: 0 3 5 | Cols: 0 2 3 | Det: -275050
Rows: 0 3 5 | Cols: 0 2 4 | Det: -20550
Rows: 0 3 5 | Cols: 0 2 5 | Det: -151075
Rows: 0 3 5 | Cols: 0 2 6 | Det: -175355
Rows: 0 3 5 | Cols: 0 2 7 | Det: -137720
Rows: 0 3 5 | Cols: 0 3 4 | Det: 154250
Rows: 0 3 5 | Cols: 0 3 5 | Det: 137310
Rows: 0 3 5 | Cols: 0 3 6 | Det: 66244
Rows: 0 3 5 | Cols: 0 3 7 | Det: 188056
Rows: 0 3 5 | Cols: 0 4 5 | Det: -74465
Rows: 0 3 5 | Cols: 0 4 6 | Det: -93391
Rows: 0 3 5 | Cols: 0 4 7 | Det: -63184
Rows: 0 3 5 | Cols: 0 5 6 | Det: -51155
Rows: 0 3 5 | Cols: 0 5 7 | Det: 34540
Rows: 0 3 5 | Cols: 0 6 7 | Det: 86724
Rows: 0 3 5 | Cols: 1 2 3 | Det: -197482
Rows: 0 3 5 | Cols: 1 2 4 | Det: -38452
Rows: 0 3 5 | Cols: 1 2 5 | Det: 86080
Rows: 0 3 5 | Cols: 1 2 6 | Det: -89598
Rows: 0 3 5 | Cols: 1 2 7 | Det: -97250
Rows: 0 3 5 | Cols: 1 3 4 | Det: 88600
Rows: 0 3 5 | Cols: 1 3 5 | Det: 280427
Rows: 0 3 5 | Cols: 1 3 6 | Det: 81495
Rows: 0 3 5 | Cols: 1 3 7 | Det: 136546
Rows: 0 3 5 | Cols: 1 4 5 | Det: 93222
Rows: 0 3 5 | Cols: 1 4 6 | Det: -24330
Rows: 0 3 5 | Cols: 1 4 7 | Det: -17044
Rows: 0 3 5 | Cols: 1 5 6 | Det: -162753
Rows: 0 3 5 | Cols: 1 5 7 | Det: -197615
Rows: 0 3 5 | Cols: 1 6 7 | Det: 21819
Rows: 0 3 5 | Cols: 2 3 4 | Det: -30250
Rows: 0 3 5 | Cols: 2 3 5 | Det: 248345
Rows: 0 3 5 | Cols: 2 3 6 | Det: 46343
Rows: 0 3 5 | Cols: 2 3 7 | Det: 2082
Rows: 0 3 5 | Cols: 2 4 5 | Det: 35170
Rows: 0 3 5 | Cols: 2 4 6 | Det: 22748
Rows: 0 3 5 | Cols: 2 4 7 | Det: 15302
Rows: 0 3 5 | Cols: 2 5 6 | Det: -132875
Rows: 0 3 5 | Cols: 2 5 7 | Det: -123205
Rows: 0 3 5 | Cols: 2 6 7 | Det: -21877
Rows: 0 3 5 | Cols: 3 4 5 | Det: -154375
Rows: 0 3 5 | Cols: 3 4 6 | Det: -33275
Rows: 0 3 5 | Cols: 3 4 7 | Det: -21850
Rows: 0 3 5 | Cols: 3 5 6 | Det: 36677
Rows: 0 3 5 | Cols: 3 5 7 | Det: 168758
Rows: 0 3 5 | Cols: 3 6 7 | Det: 31184
Rows: 0 3 5 | Cols: 4 5 6 | Det: -77403
Rows: 0 3 5 | Cols: 4 5 7 | Det: -52687
Rows: 0 3 5 | Cols: 4 6 7 | Det: -401
Rows: 0 3 5 | Cols: 5 6 7 | Det: -72097
Rows: 0 3 6 | Cols: 0 1 2 | Det: 36897
Rows: 0 3 6 | Cols: 0 1 3 | Det: -10346
Rows: 0 3 6 | Cols: 0 1 4 | Det: 26897
Rows: 0 3 6 | Cols: 0 1 5 | Det: 6766
Rows: 0 3 6 | Cols: 0 1 6 | Det: -23474
Rows: 0 3 6 | Cols: 0 1 7 | Det: -5278
Rows: 0 3 6 | Cols: 0 2 3 | Det: 166376
Rows: 0 3 6 | Cols: 0 2 4 | Det: -6134
Rows: 0 3 6 | Cols: 0 2 5 | Det: 107270
Rows: 0 3 6 | Cols: 0 2 6 | Det: 174617
Rows: 0 3 6 | Cols: 0 2 7 | Det: 150682
Rows: 0 3 6 | Cols: 0 3 4 | Det: -119564
Rows: 0 3 6 | Cols: 0 3 5 | Det: -60588
Rows: 0 3 6 | Cols: 0 3 6 | Det: 56886
Rows: 0 3 6 | Cols: 0 3 7 | Det: -18452
Rows: 0 3 6 | Cols: 0 4 5 | Det: 79322
Rows: 0 3 6 | Cols: 0 4 6 | Det: 123389
Rows: 0 3 6 | Cols: 0 4 7 | Det: 108966
Rows: 0 3 6 | Cols: 0 5 6 | Det: 100266
Rows: 0 3 6 | Cols: 0 5 7 | Det: 42976
Rows: 0 3 6 | Cols: 0 6 7 | Det: -70886
Rows: 0 3 6 | Cols: 1 2 3 | Det: 287847
Rows: 0 3 6 | Cols: 1 2 4 | Det: -13974
Rows: 0 3 6 | Cols: 1 2 5 | Det: 158622
Rows: 0 3 6 | Cols: 1 2 6 | Det: 323283
Rows: 0 3 6 | Cols: 1 2 7 | Det: 287343
Rows: 0 3 6 | Cols: 1 3 4 | Det: -205915
Rows: 0 3 6 | Cols: 1 3 5 | Det: -97262
Rows: 0 3 6 | Cols: 1 3 6 | Det: 92480
Rows: 0 3 6 | Cols: 1 3 7 | Det: -39396
Rows: 0 3 6 | Cols: 1 4 5 | Det: 118194
Rows: 0 3 6 | Cols: 1 4 6 | Det: 226775
Rows: 0 3 6 | Cols: 1 4 7 | Det: 207467
Rows: 0 3 6 | Cols: 1 5 6 | Det: 160198
Rows: 0 3 6 | Cols: 1 5 7 | Det: 75382
Rows: 0 3 6 | Cols: 1 6 7 | Det: -136564
Rows: 0 3 6 | Cols: 2 3 4 | Det: -15158
Rows: 0 3 6 | Cols: 2 3 5 | Det: -121594
Rows: 0 3 6 | Cols: 2 3 6 | Det: 95497
Rows: 0 3 6 | Cols: 2 3 7 | Det: 120162
Rows: 0 3 6 | Cols: 2 4 5 | Det: 14256
Rows: 0 3 6 | Cols: 2 4 6 | Det: 12388
Rows: 0 3 6 | Cols: 2 4 7 | Det: 9298
Rows: 0 3 6 | Cols: 2 5 6 | Det: 189188
Rows: 0 3 6 | Cols: 2 5 7 | Det: 187598
Rows: 0 3 6 | Cols: 2 6 7 | Det: 39625
Rows: 0 3 6 | Cols: 3 4 5 | Det: 81862
Rows: 0 3 6 | Cols: 3 4 6 | Det: -63445
Rows: 0 3 6 | Cols: 3 4 7 | Det: -88034
Rows: 0 3 6 | Cols: 3 5 6 | Det: 6798
Rows: 0 3 6 | Cols: 3 5 7 | Det: -57244
Rows: 0 3 6 | Cols: 3 6 7 | Det: 51676
Rows: 0 3 6 | Cols: 4 5 6 | Det: 126572
Rows: 0 3 6 | Cols: 4 5 7 | Det: 133010
Rows: 0 3 6 | Cols: 4 6 7 | Det: 33029
Rows: 0 3 6 | Cols: 5 6 7 | Det: 99554
Rows: 0 3 7 | Cols: 0 1 2 | Det: -203259
Rows: 0 3 7 | Cols: 0 1 3 | Det: -212240
Rows: 0 3 7 | Cols: 0 1 4 | Det: -78453
Rows: 0 3 7 | Cols: 0 1 5 | Det: -162942
Rows: 0 3 7 | Cols: 0 1 6 | Det: -123792
Rows: 0 3 7 | Cols: 0 1 7 | Det: -224935
Rows: 0 3 7 | Cols: 0 2 3 | Det: -200242
Rows: 0 3 7 | Cols: 0 2 4 | Det: -151692
Rows: 0 3 7 | Cols: 0 2 5 | Det: -256590
Rows: 0 3 7 | Cols: 0 2 6 | Det: -288549
Rows: 0 3 7 | Cols: 0 2 7 | Det: -154289
Rows: 0 3 7 | Cols: 0 3 4 | Det: -81106
Rows: 0 3 7 | Cols: 0 3 5 | Det: -107404
Rows: 0 3 7 | Cols: 0 3 6 | Det: -179344
Rows: 0 3 7 | Cols: 0 3 7 | Det: 60490
Rows: 0 3 7 | Cols: 0 4 5 | Det: 22566
Rows: 0 3 7 | Cols: 0 4 6 | Det: -18987
Rows: 0 3 7 | Cols: 0 4 7 | Det: 108317
Rows: 0 3 7 | Cols: 0 5 6 | Det: -75042
Rows: 0 3 7 | Cols: 0 5 7 | Det: 160268
Rows: 0 3 7 | Cols: 0 6 7 | Det: 225353
Rows: 0 3 7 | Cols: 1 2 3 | Det: -60165
Rows: 0 3 7 | Cols: 1 2 4 | Det: -318054
Rows: 0 3 7 | Cols: 1 2 5 | Det: -161754
Rows: 0 3 7 | Cols: 1 2 6 | Det: -346761
Rows: 0 3 7 | Cols: 1 2 7 | Det: -143649
Rows: 0 3 7 | Cols: 1 3 4 | Det: -308885
Rows: 0 3 7 | Cols: 1 3 5 | Det: -120670
Rows: 0 3 7 | Cols: 1 3 6 | Det: -325440
Rows: 0 3 7 | Cols: 1 3 7 | Det: -83415
Rows: 0 3 7 | Cols: 1 4 5 | Det: 192534
Rows: 0 3 7 | Cols: 1 4 6 | Det: 59865
Rows: 0 3 7 | Cols: 1 4 7 | Det: 296527
Rows: 0 3 7 | Cols: 1 5 6 | Det: -179466
Rows: 0 3 7 | Cols: 1 5 7 | Det: 63848
Rows: 0 3 7 | Cols: 1 6 7 | Det: 296253
Rows: 0 3 7 | Cols: 2 3 4 | Det: -268432
Rows: 0 3 7 | Cols: 2 3 5 | Det: -83402
Rows: 0 3 7 | Cols: 2 3 6 | Det: -256203
Rows: 0 3 7 | Cols: 2 3 7 | Det: -95847
Rows: 0 3 7 | Cols: 2 4 5 | Det: 280788
Rows: 0 3 7 | Cols: 2 4 6 | Det: 192726
Rows: 0 3 7 | Cols: 2 4 7 | Det: 134222
Rows: 0 3 7 | Cols: 2 5 6 | Det: -208116
Rows: 0 3 7 | Cols: 2 5 7 | Det: -58556
Rows: 0 3 7 | Cols: 2 6 7 | Det: 59292
Rows: 0 3 7 | Cols: 3 4 5 | Det: 110198
Rows: 0 3 7 | Cols: 3 4 6 | Det: 136645
Rows: 0 3 7 | Cols: 3 4 7 | Det: -119911
Rows: 0 3 7 | Cols: 3 5 6 | Det: -62722
Rows: 0 3 7 | Cols: 3 5 7 | Det: -76604
Rows: 0 3 7 | Cols: 3 6 7 | Det: -163239
Rows: 0 3 7 | Cols: 4 5 6 | Det: -63816
Rows: 0 3 7 | Cols: 4 5 7 | Det: 180532
Rows: 0 3 7 | Cols: 4 6 7 | Det: 154418
Rows: 0 3 7 | Cols: 5 6 7 | Det: -147116
Rows: 0 4 5 | Cols: 0 1 2 | Det: -233384
Rows: 0 4 5 | Cols: 0 1 3 | Det: -217208
Rows: 0 4 5 | Cols: 0 1 4 | Det: -148240
Rows: 0 4 5 | Cols: 0 1 5 | Det: -242000
Rows: 0 4 5 | Cols: 0 1 6 | Det: -195936
Rows: 0 4 5 | Cols: 0 1 7 | Det: -264792
Rows: 0 4 5 | Cols: 0 2 3 | Det: -342608
Rows: 0 4 5 | Cols: 0 2 4 | Det: 28632
Rows: 0 4 5 | Cols: 0 2 5 | Det: 109165
Rows: 0 4 5 | Cols: 0 2 6 | Det: -158413
Rows: 0 4 5 | Cols: 0 2 7 | Det: -341434
Rows: 0 4 5 | Cols: 0 3 4 | Det: 244264
Rows: 0 4 5 | Cols: 0 3 5 | Det: 456855
Rows: 0 4 5 | Cols: 0 3 6 | Det: 140201
Rows: 0 4 5 | Cols: 0 3 7 | Det: 70946
Rows: 0 4 5 | Cols: 0 4 5 | Det: 39650
Rows: 0 4 5 | Cols: 0 4 6 | Det: -124658
Rows: 0 4 5 | Cols: 0 4 7 | Det: -249356
Rows: 0 4 5 | Cols: 0 5 6 | Det: -255910
Rows: 0 4 5 | Cols: 0 5 7 | Det: -477895
Rows: 0 4 5 | Cols: 0 6 7 | Det: -106917
Rows: 0 4 5 | Cols: 1 2 3 | Det: -222416
Rows: 0 4 5 | Cols: 1 2 4 | Det: -31952
Rows: 0 4 5 | Cols: 1 2 5 | Det: 145217
Rows: 0 4 5 | Cols: 1 2 6 | Det: -91041
Rows: 0 4 5 | Cols: 1 2 7 | Det: -141970
Rows: 0 4 5 | Cols: 1 3 4 | Det: 111536
Rows: 0 4 5 | Cols: 1 3 5 | Det: 365779
Rows: 0 4 5 | Cols: 1 3 6 | Det: 101997
Rows: 0 4 5 | Cols: 1 3 7 | Det: 120218
Rows: 0 4 5 | Cols: 1 4 5 | Det: 125370
Rows: 0 4 5 | Cols: 1 4 6 | Det: -31002
Rows: 0 4 5 | Cols: 1 4 7 | Det: -53924
Rows: 0 4 5 | Cols: 1 5 6 | Det: -216318
Rows: 0 4 5 | Cols: 1 5 7 | Det: -311971
Rows: 0 4 5 | Cols: 1 6 7 | Det: -15897
Rows: 0 4 5 | Cols: 2 3 4 | Det: -74192
Rows: 0 4 5 | Cols: 2 3 5 | Det: 109144
Rows: 0 4 5 | Cols: 2 3 6 | Det: 17320
Rows: 0 4 5 | Cols: 2 3 7 | Det: 116976
Rows: 0 4 5 | Cols: 2 4 5 | Det: -32761
Rows: 0 4 5 | Cols: 2 4 6 | Det: 32857
Rows: 0 4 5 | Cols: 2 4 7 | Det: 64162
Rows: 0 4 5 | Cols: 2 5 6 | Det: -55984
Rows: 0 4 5 | Cols: 2 5 7 | Det: -146042
Rows: 0 4 5 | Cols: 2 6 7 | Det: 36826
Rows: 0 4 5 | Cols: 3 4 5 | Det: -176747
Rows: 0 4 5 | Cols: 3 4 6 | Det: -42709
Rows: 0 4 5 | Cols: 3 4 7 | Det: -98762
Rows: 0 4 5 | Cols: 3 5 6 | Det: 21568
Rows: 0 4 5 | Cols: 3 5 7 | Det: -133382
Rows: 0 4 5 | Cols: 3 6 7 | Det: -44282
Rows: 0 4 5 | Cols: 4 5 6 | Det: -97134
Rows: 0 4 5 | Cols: 4 5 7 | Det: -196463
Rows: 0 4 5 | Cols: 4 6 7 | Det: 6803
Rows: 0 4 5 | Cols: 5 6 7 | Det: 97276
Rows: 0 4 6 | Cols: 0 1 2 | Det: 58517
